125.03,-15.30,1776
125.05,-15.38,0
125.11,-14.83,1752
125.17,-15.13,1818
125.30,-14.48,1283
125.33,-15.12,1861
125.34,-32.80,254
125.36,-13.82,1132
125.46,-13.54,1059
125.47,-13.24,984
125.53,-32.65,255
125.55,-14.32,1226
125.63,-14.21,1177
125.70,-32.91,251
125.78,-32.54,256
125.85,-13.31,885
126.10,-14.20,11
126.11,-14.19,1200
126.16,-13.65,815
126.19,-32.44,255
126.28,-14.15,921
126.32,-13.58,634
126.51,-13.44,497
126.52,-32.77,248
126.62,-14.13,687
126.64,-32.51,251
126.67,-32.90,244
126.80,-13.43,348
127.18,-13.35,191
127.39,-13.54,52
127.40,-32.55,254
127.44,-32.87,245
127.66,-13.59,-71
127.76,-13.66,-144
127.76,-32.37,265
127.78,-13.94,-324
127.80,-14.13,-471
127.81,-13.81,-247
127.82,-14.30,-583
127.90,-14.45,-699
128.10,-15.13,-1176
128.10,-15.22,0
128.11,-15.10,-1174
128.18,-15.10,-1182
128.19,-14.20,-642
128.40,-14.32,-793
128.42,-32.56,272
128.45,-32.84,255
128.47,-32.35,285
128.49,-31.95,299
128.57,-14.56,-928
128.67,-31.93,308
128.75,-32.21,300
128.82,-31.93,313
128.90,-31.83,317
128.94,-14.65,-1058
129.04,-13.30,-315
129.08,-14.54,-1166
129.12,-14.16,-1022
129.23,-15.11,-1243
129.24,-14.65,-1317
129.28,-31.89,319
129.29,-14.73,-1353
129.44,-13.21,-496
129.44,-31.85,322
129.51,-14.65,-1505
129.52,-13.54,-669
129.52,-14.87,-1482
129.60,-14.74,-1516
129.62,-13.81,-836
129.69,-14.58,-1541
129.71,-31.71,327
130.02,-13.22,-778
130.03,-13.41,-835
130.07,-11.96,-315
130.09,-13.10,-593
130.10,-12.43,-430
130.14,-11.63,97
130.14,-13.33,-849
130.30,-12.74,-505
130.32,-31.66,328
130.38,-11.29,403
130.48,-11.94,-641
130.52,-11.22,520
130.54,-31.78,325
130.55,-12.42,-640
130.57,-31.93,320
130.87,-12.24,-816
131.16,-12.13,-762
131.18,-31.66,322
131.39,-31.82,315
131.52,-12.19,-421
131.55,-11.40,199
131.58,-11.25,-13
131.67,-12.14,-464
131.70,-31.89,308
131.74,-11.87,-580
131.79,-11.49,-369
131.88,-11.36,-314
131.90,-12.10,-541
132.05,-31.96,300
132.09,-12.19,-573
132.12,-11.89,-672
132.21,-10.33,360
132.23,-12.15,-615
132.38,-10.57,271
